# EXECUTED-SURFACE MANIFEST — every flag corral exposes, and whether anything
# has ever run it.
#
# WHY IT EXISTS. `--jail container` was advertised in the README as the
# macOS/Windows path and had never been executed once. It was broken in the
# most basic way available: docker mounts --tmpfs noexec, Go compiles its test
# binary into /tmp and execs it, so every run died as COULD-NOT-GRADE. A claim
# written from intent rather than from a run is indistinguishable, on the page,
# from one that was earned. This file is the difference.
#
# An exposed flag is a promise whether or not anyone documented it, so the
# enumeration is every flag in docs/cli/*.md — which scripts/gen-cli-docs.sh
# --check guarantees is what the binaries really print.
#
# COLUMNS: surface <TAB> status <TAB> receipt
#
#   executed    something ran it. The receipt names WHAT: `test:<file>` or
#               `run:<date> <record or scan id>`.
#   attested    executed, but not reproducible in CI, and the reason is not
#               "nobody got round to it": it costs money per run (paid model
#               seats) or it has an irreversible public side effect
#               (--transparency writes to Sigstore Rekor, permanently).
#               A missing macOS or Windows runner is NOT this — GitHub offers
#               both free to public repos, so those are unexecuted with a task
#               behind them, not a status.
#   unexecuted  no test passes it and no recorded run used it. LEGAL, and the
#               point: the manifest does not demand everything be proven, it
#               demands you know. The companion rule is that nothing marked
#               unexecuted may appear in a user-facing claim.
#
# WHAT A `test:` RECEIPT DOES NOT PROVE. It names a test in the owning binary's
# package that passes this flag literal. That is a pointer to read, not proof
# the flag's BEHAVIOUR is asserted — a test may pass a flag and never check
# what it did. Treat it as "someone has been here", and upgrade it to a `run:`
# receipt or a named behavioural test when the surface matters.
#
# AND IT MISSES THE OPPOSITE CASE, which the first triage pass found the hard
# way. --max-proven-missed was seeded `unexecuted` because no test passes that
# string — while TestMaxProvenMissedFailsClosedWhenNothingCouldBeProven had
# been calling repoScanExitCode with its value directly all along. The flag's
# LOGIC was tested; its parsing was not. So a seeded `unexecuted` means "no
# test passes the literal and no recorded run used it", which is narrower than
# "nothing has ever exercised this". Read a row as a question that has been
# ASKED, not as a measurement — and when you triage one, look for a
# behavioural test before assuming the surface is untouched.
#
# Regenerate the enumeration, never this file's judgements, with
# TestDocsEverySurfaceIsClassified, which fails on a surface with no row and on a
# row for a surface that no longer exists.
corral certify --local --bind-dir	executed	test:cmd/corral/certify_local_test.go
corral certify --local --code	executed	test:cmd/corral/certify_adversarial_test.go
corral certify --local --commit	executed	test:cmd/corral/certify_repo_test.go
corral certify --local --critic-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --local --goal	executed	test:cmd/corral/certify_adversarial_test.go
corral certify --local --jail	executed	run:2026-09-02 record 89 (--jail container)
corral certify --local --lang	executed	test:cmd/corral/models_rank_test.go
corral certify --local --local	executed	test:cmd/corral/jail_test.go
corral certify --local --local-endpoint	executed	test:cmd/corral/local_endpoint_test.go (parseLocalEndpoints, shared by both paths)
corral certify --local --matrix	executed	test:cmd/corral/certify_local_test.go
corral certify --local --max-shards	executed	run:2026-09-02 record 89
corral certify --local --mutant-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --local --mutants	executed	test:cmd/corral/certify_repo_evidence_candidacy_test.go
corral certify --local --n-mutants	executed	run:2026-09-02 record 89
corral certify --local --no-bind-deps	executed	test:cmd/corral/certify_local_test.go
corral certify --local --no-fail-fast	unexecuted	
corral certify --local --out	executed	run:2026-09-02 record 89
corral certify --local --poll	executed	test:cmd/corral/certify_adversarial_test.go
corral certify --local --quiet	executed	test:cmd/corral/certify_local_tape_stream_test.go (TestQuietSelectsWhetherBeatsEchoLive: live echo on/off, and the tape unaffected either way)
corral certify --local --record	executed	test:cmd/corral/certify_repo_selcache_test.go
corral certify --local --record-mutants	executed	test:cmd/corral/certify_mutants_test.go
corral certify --local --record-stream	unexecuted	
corral certify --local --repo	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --local --repo-dir	executed	test:cmd/corral/certify_local_test.go
corral certify --local --shadow-model	executed	test:cmd/corral/action_test.go
corral certify --local --shadow-writer-model	executed	test:cmd/corral/certify_local_runspec_test.go (TestResolvedChallengerModelsReachTheRunSpec: the flag reaches RunSpec.ShadowWriterModel and the shadow-writer role assignment)
corral certify --local --swarm	executed	test:cmd/corral/certify_local_test.go (TestRunReadyTasks_ConcurrentAndBounded: N tasks at swarm B never exceed B, each runs once)
corral certify --local --test	executed	test:cmd/corral/certify_adversarial_test.go
corral certify --local --test-timeout	executed	test:cmd/corral/certify_local_test.go (TestTestTimeoutReachesTheScorer: the value reaches JailScorer.MutantTimeout, and 0 passes through so the scorer derives the cap)
corral certify --local --timeout	executed	test:cmd/corral/certify_adversarial_test.go
corral certify --local --writer-mode	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --local --writer-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --repo --all	executed	test:cmd/corral/certify_repo_test.go
corral certify --repo --attest	executed	test:cmd/corral/certify_repo_transparency_test.go
corral certify --repo --commit	executed	test:cmd/corral/certify_repo_test.go
corral certify --repo --critic-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --repo --derive-model	executed	run:2026-09-02 md:corral_public scans 22-26
corral certify --repo --diff-base	executed	test:cmd/corral/certify_repo_selcache_test.go
corral certify --repo --dry-run	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --repo --goals	executed	test:cmd/corral/certify_repo_selcache_test.go
corral certify --repo --json	executed	test:cmd/corral/models_rank_test.go
corral certify --repo --local-endpoint	executed	test:cmd/corral/local_endpoint_test.go (parseLocalEndpoints, shared by both paths)
